País;Continente;IndiceFelic
Afghanistan;Asia;1.446
Albania;Europe;5.445
Argentina;America;6.393
Armenia;Asia;5.679
Australia;Oceania;7.025
Austria;Europe;6.636
Azerbaijan;Asia;5.214
Bahrain;Asia;5.959
Bangladesh;Asia;4.114
Belgium;Europe;6.944
Benin;Africa;4.420
Bolivia;America;5.860
Bosnia and Herzegovina;Europe;6.009
Botswana;Africa;3.332
Brazil;America;6.553
Bulgaria;Europe;5.590
Burkina Faso;Africa;4.462
Cambodia;Asia;4.221
Cameroon;Africa;4.946
Canada;America;6.841
Chad;Africa;4.544
Chile;America;6.230
China;Asia;6.145
Colombia;America;5.904
Comoros;Africa;3.588
Congo (Brazzaville);Africa;4.954
Congo (Kinshasa);Africa;3.383
Costa Rica;America;7.384
Croatia;Europe;5.958
Cyprus;Europe;6.071
Czechia;Europe;6.827
Denmark;Europe;7.504
Dominican Republic;America;5.921
Ecuador;America;5.852
Egypt;Africa;3.881
El Salvador;America;6.482
Estonia;Europe;6.430
Ethiopia;Africa;4.093
Finland;Europe;7.699
France;Europe;6.557
Gabon;Africa;5.104
Gambia;Africa;4.691
Georgia;Asia;5.351
Germany;Europe;6.792
Ghana;Africa;4.298
Greece;Europe;5.796
Guatemala;America;6.421
Guinea;Africa;4.827
Honduras;America;5.861
Hungary;Europe;5.965
Iceland;Europe;7.562
India;Asia;4.676
Indonesia;Asia;5.695
Iran;Asia;5.004
Iraq;Asia;5.475
Ireland;Europe;6.817
Israel;Asia;6.783
Italy;Europe;6.245
Ivory Coast;Africa;5.337
Japan;Asia;5.910
Jordan;Asia;4.292
Kazakhstan;Asia;6.299
Kenya;Africa;4.496
Kosovo;Europe;6.878
Kuwait;Asia;7.130
Kyrgyzstan;Asia;5.910
Laos;Asia;5.486
Latvia;Europe;6.296
Lebanon;Asia;3.588
Liberia;Africa;4.494
Libya;Africa;5.970
Lithuania;Europe;6.553
Luxembourg;Europe;7.016
Madagascar;Africa;4.433
Malawi;Africa;3.272
Malaysia;Asia;5.868
Mali;Africa;4.370
Malta;Europe;6.295
Mauritania;Africa;4.292
Mauritius;Africa;5.759
Mexico;America;7.006
Moldova;Europe;5.801
Mongolia;Asia;5.580
Montenegro;Europe;5.813
Morocco;Africa;4.487
Mozambique;Africa;5.704
Myanmar;Asia;4.391
Namibia;Africa;5.055
Nepal;Asia;5.389
Netherlands;Europe;7.255
New Zealand;Oceania;6.976
Nicaragua;America;6.362
Niger;Africa;4.609
Nigeria;Africa;4.869
North Macedonia;Europe;5.403
Norway;Europe;7.249
Pakistan;Asia;4.549
Panama;America;6.543
Paraguay;America;6.214
Peru;America;5.936
Philippines;Asia;6.184
Poland;Europe;6.685
Portugal;Europe;5.954
Romania;Europe;6.489
Russia;Europe;5.865
Saudi Arabia;Asia;6.953
Senegal;Africa;5.093
Serbia;Europe;6.441
Sierra Leone;Africa;3.467
Singapore;Asia;6.654
Slovakia;Europe;6.261
Slovenia;Europe;6.746
South Africa;Africa;5.076
South Korea;Asia;6.112
Spain;Europe;6.456
Sri Lanka;Asia;3.602
State of Palestine;Asia;4.851
Sweden;Europe;7.161
Switzerland;Europe;6.969
Taiwan Province of China;Asia;6.655
Tajikistan;Asia;5.379
Tanzania;Africa;4.042
Thailand;Asia;6.282
Togo;Africa;4.365
Tunisia;Africa;4.505
Türkiye;Europe;5.463
Uganda;Africa;4.467
Ukraine;Europe;4.672
United Arab Emirates;Asia;6.728
United Kingdom;Europe;6.658
United States;America;6.521
Uruguay;America;6.662
Uzbekistan;Asia;6.385
Venezuela;America;5.765
Vietnam;Asia;6.325
Yemen;Asia;3.532
Zambia;Africa;3.686
Zimbabwe;Africa;3.572
