Raza,Sexo,Peso,Largo,Cintura,Color,Talla,Edad
Abisinio,Macho,510.61,28,16,Negro,sano,57
andino,M,NA,27,18,tricolor,NA,17
NA,Macho,809.67,27,20,Tricolor,sano,17
Cuy peruano,hembra,580.99,23,19,Negro,Sano,31
Americano,h,NA,NA,21,Blancoo,NA,32
Cuy peruano,macho,831.84,NA,NA,pintado,NA,25
peruano,Hembra,676.59,23,NA,Blanco,NA,17
peruano,macho,683.33,NA,20,Negro,Sano,58
Cuy Andino,macho,NA,NA,NA,tricolor,NA,51
Peruano,h,776.16,NA,18,blanco,Sano,65
Cuy Andino,M,724.53,27,19,Rojizo,Sano,28
Andino,Macho,902.82,28,NA,Marrón,NA,16
Cuy Peruano,h,786.63,24,20,Pintado,Sano,60
Cuy peruano,Macho,983.83,27,19,Pintado,gordo,54
Peruano,macho,NA,27,NA,Marrón,NA,17
Cuy abisinio,macho,698.06,26,17,Marrón Oscuro,Sano,60
Cuy Peruano,Macho,755.78,27,20,blanco,sano,60
Cuy Americano,H,964.73,32,22,Marrón,sano,36
peruano,h,750.79,26,18,Negro,Sano,52
Cuy Andino,hembra,595.97,22,16,Negro,Sano,35
Cuy americano,macho,NA,29,19,Marrón,NA,19
Andino,Macho,836.44,28,NA,Blanco,NA,44
Cuy peruano,h,486,29,16,Marrón,Sanoo,46
Cuy híbrido,Macho,1362.91,38,22,Tricolor,Gordo,45
Cuy andino,m,716.68,26,19,marrón,Sano,24
Cuy Andino,hembra,811.45,NA,16,Tricolor,Gordo,32
peruano,macho,800.55,NA,19,Blanco,Sano,56
Cuy Peruano,macho,935.84,26,NA,Blanco,NA,26
Cuy Peruano,h,800.37,22,NA,blanco,NA,31
adinon,Macho,829.95,24,17,marrón,Gordo,20
cuy,m,NA,34,15,Tricolor,NA,35
Cuy Peruano,macho,876.15,21,20,Blanco,Sano,46
Cuy Peruano,h,NA,26,17,Marrón,NA,53
Cuy híbrido,Hembra,1214.07,NA,NA,pintado,NA,34
Cuy Peruano,Hembra,679.37,26,18,Blanco,Sano,36
peruano,Macho,785.57,28,21,Negro,sano,31
adinon,M,NA,24,15,rojizo,NA,40
Cuy Peruano,h,686.55,24,19,marrón,sano,62
Cuy abisinio,Macho,608.07,28,17,Negro,sano,40
Cuy andino,hembra,667.28,25,16,blanco,gordo,50
Cuy Andino,m,NA,25,20,tricolor,NA,47
Peruano,Hembra,677.08,24,18,Blanco,Sano,47
Cuy Peruano,Macho,664.37,26,21,Blanco,Sano,15
Cuy peruano,macho,859.2,25,20,Blanco,Sano,51
adinon,hembra,696.61,23,19,Negro,Sano,33
Andino,hembra,758.37,27,NA,Tricolor,NA,12
Americano,m,1104.69,26,19,negro,Gordo,31
Cuy peruano,m,NA,32,20,blanco,NA,32
Cuy andino,macho,647.55,22,NA,blanco,NA,52
Andino,macho,529.65,23,17,Marrón,Sano,36
Peruano,Hembra,609.03,24,18,Marrón,Sano,31
hibrido,Macho,768.98,35,16,Tricolor,gordo,22
Peruano,macho,723.64,260,18,Negro,Sano,49
Cuy,H,927.33,36,14,Tricolor,obeso,26
Cuy Andino,M,NA,NA,NA,tricolor,NA,41
Cuy Americano,hembra,819.53,29,NA,Blanco,NA,56
Cuy peruano,macho,884.16,27,19,Pintado,Sano,42
Cuy Andino,m,926.55,29,19,blanco,gordo,54
Cuy andino,hembra,NA,25,17,rojizo,NA,39
Cuy Peruano,hembra,632.02,NA,20,blanco,Sano,56
peruano,M,623.29,25,20,Blanco,flaco,38
Cuy Peruano,H,NA,23,18,Marrón,NA,24
Peruano,Hembra,871.91,26,17,marrón,Gordo,37
peruano,Hembra,609.22,28,NA,Blanco,NA,27
Cuy Peruano,m,723.4,33,18,blanco,sano,31
Peruano,Mmachoo,698.63,NA,NA,Marrón,NA,49
Cuy peruano,m,793.41,NA,20,marrón,Sano,29
peruano,macho,990.01,30,19,blanco,gordo,17
Cuy americano,h,858.24,28,20,blanco,Sano,30
Peruano,h,642.51,NA,18,marrón,Sano,40
peruano,Macho,736.25,NA,20,marrón,Sano,33
NA,h,NA,NA,NA,pintado,NA,40
Andino,Hembra,826.81,NA,NA,blanco,NA,51
andino,Hembra,772.71,23,NA,tricolor,NA,65
Peruano,hembra,608.43,24,20,Pintado,sano,16
Cuy Andino,m,898.28,24,NA,Blanco,NA,25
Peruano,Macho,823.66,25,NA,marrón,NA,11
Cuy Andino,hembra,707.36,23,NA,negro,NA,29
Cuy Andino,M,739.48,24,18,Blanco,sano,50
peruano,H,806.4,28,16,blanco,gordo,22
Cuy peruano,macho,779.6,27,20,blanco,sano,27
Cuy andino,M,851.25,27,16,marrón,Gordo,40
Peruano,h,715.64,25,NA,Blanco,NA,41
Andino,Hembra,559.35,NA,17,Blanco,sano,57
peruano,Macho,706.17,28,20,Blanco,sano,51
peruano,h,NA,NA,17,marrón,NA,57
Cuy Peruano,Hembra,719.74,NA,18,Negro,sano,64
Cuy peruano,Macho,854.73,24,NA,blanco,NA,33
Cuy abisinio,Macho,410.42,19,NA,Marrón Oscuro,NA,19
Cuy Peruano,macho,NA,28,19,marrón,NA,61
Peruano,macho,805.25,27,NA,negro,NA,26
Cuy Peruano,m,815.97,29,21,Blanco,sano,44
Andino,macho,860.36,26,17,Marrón,gordo,19
Cuy Peruano,Hembra,812.92,NA,NA,blanco,NA,23
Hibrido,hembra,1372.08,27,21,Tricolor,Gordo,46
Andino,Hembra,862.77,23,17,tricolor,Gordo,38
Cuy Peruano,hembra,659.61,28,NA,Pintado,NA,47
Cuy Andino,h,693.94,21,16,tricolor,gordo,27
Cuy Peruano,hembra,614.72,22,17,Blanco,Sano,55
Peruano,M,933.5,22,19,Negro,gordo,16
Cuy Andino,macho,778,NA,NA,Rojizo,NA,30
peruano,H,753.05,29,NA,Pintado,NA,29
Cuy Andino,Macho,NA,23,NA,negro,NA,61
Cuy peruano,M,732.37,28,NA,Pintado,NA,34
Andino,macho,649.18,28,18,Rojizo,Sano,21
peruano,H,653.23,NA,18,Marrón,Sano,52
peruano,macho,855.69,30,20,Blanco,sano,64
andino,M,737.3,29,NA,Negro,NA,59
cuy,Hembra,594.36,32,13,tricolor,gordo,43
Andino,macho,639.93,22,17,blanco,Sano,28
Cuy Andino,M,768.09,27,17,Blanco,Gordo,34
Cuy Peruano,Hembra,729.81,27,20,marrón,Sano,28
Abisinio,Macho,NA,27,17,Marrón Oscuro,NA,17
Peruano,H,765.74,NA,18,Pintado,sano,55
Cuy peruano,macho,NA,29,18,Pintado,NA,46
Peruano,Hembra,580.34,23,17,Marrón,Sano,32
Cuy Andino,M,849.64,26,NA,Blanco,NA,40
Cuy peruano,h,670.95,30,16,marrón,Gordo,35
andino,h,772.2,22,16,Rojizo,gordo,34
Cuy Americano,m,1067.16,29,18,blanco,gordo,54
peruano,Macho,745.65,NA,21,Pintado,Sano,15
andino,M,723.18,32,NA,Negro,NA,54
Peruano,hembra,763.42,25,19,negro,Sano,40
Peruano,macho,979.6,29,20,blanco,Sano,32
Peruano,Hembra,648.89,24,19,Pintado,Sano,19
Peruano,M,820.06,NA,NA,Pintado,NA,23
Cuy Americano,Macho,1057.67,28,NA,blanco,NA,17
peruano,Macho,1016.6,32,20,Negro,gordo,14
peruano,Macho,1031.24,23,20,marrón,gordoo,35
Cuy peruano,H,531.43,22,NA,blanco,NA,59
andino,Macho,864.99,NA,19,Blanco,sano,13
peruano,macho,1017.99,29,21,Marrón,sano,24
Cuy andino,m,727.33,24,NA,Negro,NA,55
Cuy Andino,Macho,902.12,26,NA,Negro,NA,43
Peruano,hembra,713.26,25,18,Blanco,Sano,49
Andino,m,752.64,22,17,blancoo,Gordo,40
Cuy peruano,M,1043.45,25,NA,blanco,NA,39
andino,Macho,630.03,26,19,rojizo,sano,31
Cuy andino,Macho,769.26,27,21,Rojizo,Sano,26
peruano,hembra,713.58,NA,18,blanco,Sano,40
Cuy Peruano,Macho,980,32,21,Pintado,Sano,49
Cuy andino,Hembra,606.26,26,15,Blanco,Gordo,43
Cuy Híbrido,Hembra,539.27,35,15,Marrón,Sano,30
Cuy,Macho,NA,36,17,Pintado,NA,19
Cuy peruano,Macho,785.63,28,20,negroo,Sano,37
Peruano,Hembra,791.39,23,16,Marrón,Gordo,15
Cuy peruano,Macho,906.46,NA,19,Blanco,Sano,23
Andino,macho,711.61,27,19,Tricolor,Sano,59
Cuy abisinio,macho,756.54,21,NA,marrón oscuro,NA,27
peruano,Macho,NA,24,NA,blanco,NA,26
Peruano,h,726.5,25,20,blanco,Sano,25
Cuy peruano,Macho,NA,22,NA,negro,NA,32
andino,macho,897.21,24,18,Blanco,Gordo,61
Cuy peruano,m,903.03,28,21,marrón,Sano,15
Peruano,macho,692.04,31,19,Blanco,Sano,21
Cuy peruano,m,761.84,26,21,Marrón,Sano,59
Peruano,Macho,937.15,NA,NA,Blanco,NA,11
aNDino,H,722.25,20,16,blanco,Gordo,44
peruano,Hembra,636.72,27,NA,Marrón,NA,40
Abisinio,macho,553.22,22,16,marrón oscuro,Sano,18
Peruano,H,826.19,30,NA,Blanco,NA,15
hibrido,Hembra,NA,NA,17,blanco,NA,15
peruano,h,NA,NA,17,blanco,NA,46
Cuy andino,M,958.13,26,NA,Blanco,NA,64
Peruano,macho,534.97,28,17,blanco,Sano,40
Peruanoo,Macho,862.63,28,19,Blanco,sano,22
Cuy abisinio,M,NA,NA,16,marrón oscuro,NA,30
peruano,M,776.07,21,21,Marrón,Sano,64
Cuy abisinio,m,NA,25,15,Marrón Oscuro,NA,66
peruano,hembra,503.8,24,17,Negro,sano,48
Cuy Peruano,Macho,761.69,NA,20,blanco,Sano,34
Americano,macho,755.53,24,NA,Blanco,NA,14
peruano,Macho,NA,25,20,Negro,NA,36
Cuy Peruano,Macho,822.4,23,NA,negro,NA,49
peruano,Hembra,527.27,29,18,marrón,sano,44
Andino,H,729.88,25,NA,negro,NA,32
Peruano,h,511.76,24,18,Blanco,sano,46
Cuy Abisinio,m,527.88,21,17,negro,Sano,30
Peruano,Macho,NA,26,NA,Blanco,NA,12
Peruano,Macho,795.5,28,20,Blanco,Sano,19
Cuy andino,m,796.71,27,17,blancoo,gordo,18
Peruano,H,NA,24,20,Blanco,NA,49
adinon,m,793.51,23,17,Tricolor,Gordo,57
Cuy peruano,M,846.23,28,20,Marrón,sano,17
Andino,hembra,NA,NA,NA,blanco,NA,31
Peruano,M,926.07,33,NA,Blanco,NA,53
cuy,M,717.88,28,20,tricolor,Sano,37
peruano,M,951.53,27,20,pintado,Sano,45
peruano,h,692.63,26,18,blanco,Sano,44
cuy,macho,1225.75,36,21,Pintado,Gordo,40
Peruano,Macho,803.07,28,19,Blanco,sano,41
Peruano,hembra,NA,NA,18,Marrón,NA,21
Cuy Peruano,Hembra,608.44,26,19,Pintado,sano,50
Peruano,H,596.85,NA,18,blanco,sano,64
hibrido,Hembra,1437.85,23,25,tricolor,sano,33
peruano,Macho,911.28,26,NA,blanco,NA,15
Cuy Andino,Macho,966.52,27,17,blanco,gordo,59
Cuy Americano,Macho,1038.69,26,25,Negro,sano,45
andino,Macho,859.61,25,NA,negro,NA,13
Peruano,Macho,797.3,27,21,Pintado,Sano,24
Cuy Andino,Macho,900.84,28,19,Blanco,gordo,53
Cuy Peruano,h,NA,23,17,Blanco,NA,46
Peruano,h,786.06,25,15,Marrón,Gordo,41
Cuy abisinio,Macho,505.72,23,NA,Marrón Oscuro,NA,30
Cuy peruano,M,872.86,NA,21,negro,Sano,55
