Lote,DEFECTOS,HORAS,COSTO,REGION
1,6,10,1236,Centro
2,3,5,1884,Centro
3,7,13,1896,Norte
4,4,10,1271,Centro
5,6,7,1188,Centro
6,9,8,1998,Sur
7,2,8,1703,Centro
8,6,7,1446,Norte
9,7,14,1580,Sur
10,4,7,1789,Sur
11,3,7,1860,Norte
12,7,8,1246,Norte
13,7,11,1962,Sur
14,2,8,1075,Centro
15,5,13,1153,Sur
16,4,5,1655,Norte
17,1,12,1434,Sur
18,7,11,1996,Norte
19,5,6,1085,Sur
20,1,12,1696,Centro
21,4,5,1284,Sur
22,0,13,1973,Sur
23,9,13,1219,Norte
24,5,6,1068,Norte
25,8,11,1046,Norte
26,0,14,1093,Sur
27,9,7,1749,Centro
28,2,11,1957,Norte
29,6,14,1452,Norte
30,3,13,1203,Sur
31,8,8,1911,Norte
32,2,5,1217,Centro
33,4,6,1473,Centro
34,2,5,1431,Norte
35,6,9,1340,Norte
36,4,9,1550,Sur
37,8,11,1611,Centro
38,6,13,1288,Centro
39,1,13,1253,Norte
40,3,7,1733,Sur
41,8,7,1356,Centro
42,1,7,1022,Centro
43,9,8,1761,Sur
44,8,12,1521,Sur
45,9,10,1757,Centro
46,4,12,1836,Centro
47,1,5,1099,Sur
48,3,12,1801,Centro
49,6,8,1179,Norte
50,7,5,1222,Norte
51,2,12,1905,Sur
52,0,8,1761,Sur
53,3,10,1658,Sur
54,1,12,1441,Norte
55,7,8,1607,Centro
56,3,7,1768,Norte
57,1,13,1324,Centro
58,5,7,1515,Norte
59,5,13,1015,Centro
60,9,6,1791,Norte
61,3,6,1335,Sur
62,5,6,1758,Norte
63,1,10,1257,Centro
64,9,7,1496,Norte
65,1,13,1987,Norte
66,9,8,1895,Norte
67,3,5,1159,Sur
68,7,8,1474,Norte
69,6,5,1851,Sur
70,8,9,1663,Sur
71,7,8,1907,Norte
72,4,12,1689,Norte
73,1,12,1674,Norte
74,4,11,1379,Centro
75,7,7,1544,Norte
76,9,5,1928,Sur
77,8,5,1956,Norte
78,8,7,1690,Centro
79,0,10,1426,Norte
80,8,11,1612,Centro
81,6,10,1267,Centro
82,8,10,1834,Norte
83,7,10,1576,Sur
84,0,7,1416,Centro
85,7,10,1167,Norte
86,7,12,1841,Norte
87,2,6,1042,Sur
88,0,9,1555,Centro
89,7,5,1284,Centro
90,2,5,1396,Norte
91,2,9,1011,Norte
92,0,7,1606,Sur
93,4,8,1301,Sur
94,9,7,1897,Centro
95,6,5,1252,Centro
96,9,5,1498,Norte
97,8,9,1753,Centro
98,6,10,1034,Sur
99,8,7,1726,Sur
100,7,13,1848,Norte
101,1,9,1089,Sur
102,0,12,1775,Sur
103,6,5,1604,Sur
104,6,9,1921,Sur
105,7,7,1969,Norte
106,4,5,1601,Norte
107,2,8,1417,Centro
108,7,9,1114,Sur
109,5,11,1616,Centro
110,2,5,1902,Norte
111,0,7,1195,Norte
112,2,6,1825,Norte
113,4,13,1500,Norte
114,2,14,1625,Norte
115,0,10,1492,Norte
116,4,14,1074,Norte
117,9,7,1412,Sur
118,6,12,1375,Centro
119,6,12,1419,Norte
120,8,6,1728,Sur
121,9,10,1276,Sur
122,9,11,1760,Centro
123,2,6,1675,Norte
124,6,14,1393,Centro
125,0,6,1868,Norte
126,3,14,1456,Sur
127,3,5,1919,Sur
128,4,12,1191,Sur
129,6,5,1738,Sur
130,6,13,1688,Centro
131,3,10,1098,Norte
132,6,11,1547,Norte
133,2,14,1977,Centro
134,5,11,1998,Norte
135,1,14,1095,Sur
136,9,7,1663,Norte
137,8,6,1662,Sur
138,4,13,1189,Centro
139,5,12,1735,Norte
140,3,14,1036,Centro
141,9,11,1779,Norte
142,6,13,1368,Sur
143,8,8,1694,Centro
144,6,8,1524,Norte
145,0,5,1278,Sur
146,0,12,1216,Centro
147,8,7,1866,Centro
148,8,11,1872,Norte
149,3,6,1797,Norte
150,8,6,1272,Norte
151,2,11,1880,Sur
152,6,10,1061,Norte
153,5,7,1595,Centro
154,7,13,1879,Centro
155,8,14,1728,Norte
156,4,10,1341,Norte
157,0,14,1396,Centro
158,2,14,1698,Sur
159,9,10,1018,Norte
160,7,5,1176,Norte
161,5,8,1611,Centro
162,7,14,1395,Norte
163,8,10,1444,Sur
164,3,10,1232,Centro
165,0,9,1914,Norte
166,0,5,1075,Centro
167,9,12,1264,Norte
168,3,9,1454,Norte
169,6,9,1795,Norte
170,1,11,1717,Sur
171,2,8,1734,Sur
172,0,10,1383,Centro
173,4,8,1563,Norte
174,0,7,1850,Norte
175,7,11,1505,Sur
176,0,12,1366,Norte
177,0,8,1143,Sur
178,1,6,1884,Norte
179,1,14,1068,Centro
180,5,7,1098,Norte
181,6,5,1395,Norte
182,4,12,1024,Sur
183,0,7,1947,Norte
184,0,14,1890,Norte
185,2,11,1468,Sur
186,1,14,1483,Centro
187,4,9,1564,Centro
188,9,14,1150,Sur
189,5,9,1143,Sur
190,6,11,1568,Sur
191,3,13,1038,Sur
192,6,9,1108,Sur
193,7,5,1692,Centro
194,0,14,1041,Centro
195,5,14,1185,Sur
196,7,5,1934,Norte
197,4,6,1397,Sur
198,3,10,1222,Norte
199,1,13,1633,Sur
200,5,12,1132,Sur
