Raza,Sexo,Peso,Largo,Cintura,Color,Talla,Edad,Reporte,Equipo,Fecha,Error,Tiempo
abisinio,macho,510.61,28,16,negro,sano,57,Ser. No.: 0372EK3-Z - Date: 2024-02-19 08:00:32.98 - Status: OK,3,2024-02-19T13:00:32Z,FALSE,NA
andino,macho,NA,27,18,tricolor,NA,17,Ser. No.: 4653OK2-X - Date: 2024-02-19 08:13:57.474 - Status: OK,2,2024-02-19T13:13:57Z,FALSE,NA
híbrido,macho,809.67,27,20,tricolor,sano,17,Ser. No.: 4653OK2-X - Date: 2024-02-19 08:14:42.512 - Status: OK,2,2024-02-19T13:14:42Z,FALSE,0.7506333351135254
peruano,hembra,580.99,23,19,negro,sano,31,Ser. No.: 4653OK2-X - Date: 2024-02-19 08:30:10.747 - Status: OK,2,2024-02-19T13:30:10Z,FALSE,15.47058333158493
americano,hembra,NA,NA,21,blanco,NA,32,Ser. No.: 4653OK2-X - Date: 2024-02-19 08:30:16.848 - Status: OK,2,2024-02-19T13:30:16Z,FALSE,0.10168333450953165
peruano,macho,831.84,NA,NA,pintado,NA,25,Ser. No.: 4653OK2-X - Date: 2024-02-19 08:33:01.083 - Status: OK,2,2024-02-19T13:33:01Z,FALSE,2.737249998251597
peruano,hembra,676.59,23,NA,blanco,NA,17,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:33:20.2 - Status: OK,1,2024-02-19T13:33:20Z,FALSE,NA
peruano,macho,683.33,NA,20,negro,sano,58,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:33:58.663 - Status: OK,1,2024-02-19T13:33:58Z,FALSE,0.6410500009854635
andino,macho,NA,NA,NA,tricolor,NA,51,Ser. No.: 4653OK2-X - Date: 2024-02-19 08:35:01.286 - Status: OK,2,2024-02-19T13:35:01Z,FALSE,2.0033833344777423
peruano,hembra,776.16,NA,18,blanco,sano,65,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:35:06.686 - Status: OK,1,2024-02-19T13:35:06Z,FALSE,1.1337166666984557
andino,macho,724.53,27,19,rojizo,sano,28,Ser. No.: 6543BF2-X - Date: 2024-02-19 08:37:13.534 - Status: OK,1,2024-02-19T13:37:13Z,FALSE,2.114133330186208
andino,macho,902.82,28,NA,marrón,NA,16,Ser. No.: 0372EK3-Z - Date: 2024-02-19 08:37:14.3 - Status: OK,3,2024-02-19T13:37:14Z,FALSE,36.688666665554045
peruano,hembra,786.63,24,20,pintado,sano,60,Ser. No.: 0372EK3-Z - Date: 2024-02-19 08:38:17.063 - Status: OK,3,2024-02-19T13:38:17Z,FALSE,1.046050000190735
