Raza,Sexo,Peso,Largo,Cintura,Color,Talla,Edad
abisinio,macho,510.61,28,16,negro,sano,57
andino,macho,NA,27,18,tricolor,NA,17
híbrido,macho,809.67,27,20,tricolor,sano,17
peruano,hembra,580.99,23,19,negro,sano,31
americano,hembra,NA,NA,21,blanco,NA,32
peruano,macho,831.84,NA,NA,pintado,NA,25
peruano,hembra,676.59,23,NA,blanco,NA,17
peruano,macho,683.33,NA,20,negro,sano,58
andino,macho,NA,NA,NA,tricolor,NA,51
peruano,hembra,776.16,NA,18,blanco,sano,65
andino,macho,724.53,27,19,rojizo,sano,28
andino,macho,902.82,28,NA,marrón,NA,16
peruano,hembra,786.63,24,20,pintado,sano,60
peruano,macho,983.83,27,19,pintado,gordo,54
peruano,macho,NA,27,NA,marrón,NA,17
abisinio,macho,698.06,26,17,marrón oscuro,sano,60
peruano,macho,755.78,27,20,blanco,sano,60
americano,hembra,964.73,32,22,marrón,sano,36
peruano,hembra,750.79,26,18,negro,sano,52
andino,hembra,595.97,22,16,negro,sano,35
americano,macho,NA,29,19,marrón,NA,19
andino,macho,836.44,28,NA,blanco,NA,44
peruano,hembra,486,29,16,marrón,sano,46
híbrido,macho,1362.91,38,22,tricolor,gordo,45
andino,macho,716.68,26,19,marrón,sano,24
andino,hembra,811.45,NA,16,tricolor,gordo,32
peruano,macho,800.55,NA,19,blanco,sano,56
peruano,macho,935.84,26,NA,blanco,NA,26
peruano,hembra,800.37,22,NA,blanco,NA,31
andino,macho,829.95,24,17,marrón,gordo,20
híbrido,macho,NA,34,15,tricolor,NA,35
peruano,macho,876.15,21,20,blanco,sano,46
peruano,hembra,NA,26,17,marrón,NA,53
híbrido,hembra,1214.07,NA,NA,pintado,NA,34
peruano,hembra,679.37,26,18,blanco,sano,36
peruano,macho,785.57,28,21,negro,sano,31
andino,macho,NA,24,15,rojizo,NA,40
peruano,hembra,686.55,24,19,marrón,sano,62
abisinio,macho,608.07,28,17,negro,sano,40
andino,hembra,667.28,25,16,blanco,gordo,50
andino,macho,NA,25,20,tricolor,NA,47
peruano,hembra,677.08,24,18,blanco,sano,47
peruano,macho,664.37,26,21,blanco,sano,15
peruano,macho,859.2,25,20,blanco,sano,51
andino,hembra,696.61,23,19,negro,sano,33
andino,hembra,758.37,27,NA,tricolor,NA,12
americano,macho,1104.69,26,19,negro,gordo,31
peruano,macho,NA,32,20,blanco,NA,32
andino,macho,647.55,22,NA,blanco,NA,52
andino,macho,529.65,23,17,marrón,sano,36
peruano,hembra,609.03,24,18,marrón,sano,31
híbrido,macho,768.98,35,16,tricolor,gordo,22
peruano,macho,723.64,NA,18,negro,sano,49
híbrido,hembra,927.33,36,14,tricolor,obeso,26
andino,macho,NA,NA,NA,tricolor,NA,41
americano,hembra,819.53,29,NA,blanco,NA,56
peruano,macho,884.16,27,19,pintado,sano,42
andino,macho,926.55,29,19,blanco,gordo,54
andino,hembra,NA,25,17,rojizo,NA,39
peruano,hembra,632.02,NA,20,blanco,sano,56
peruano,macho,623.29,25,20,blanco,flaco,38
peruano,hembra,NA,23,18,marrón,NA,24
peruano,hembra,871.91,26,17,marrón,gordo,37
peruano,hembra,609.22,28,NA,blanco,NA,27
peruano,macho,723.4,33,18,blanco,sano,31
peruano,macho,698.63,NA,NA,marrón,NA,49
peruano,macho,793.41,NA,20,marrón,sano,29
peruano,macho,990.01,30,19,blanco,gordo,17
americano,hembra,858.24,28,20,blanco,sano,30
peruano,hembra,642.51,NA,18,marrón,sano,40
peruano,macho,736.25,NA,20,marrón,sano,33
